Name,Address,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Elegant RB Foods," 61/69, First Floor, Sri Ganesh Street, Athipet, Vanagaram Road, Ambattur, Chennai",Ambattur,"['South Indian', ' North Indian', ' Chinese']",Invalid,300,None,Does not offer Dining,3.9,32,"['Breakfast', 'Home Delivery']"
Tea House," 9, 18/3, Muthurangan Salai, T. Nagar, Chennai",T. Nagar,"['Fast Food', ' Beverages', ' Tea']",Invalid,250,3.7,23,3.7,413,"['Home Delivery', 'Outdoor Seating']"
Petti Soru," 761, Velachery Main Road, Selaiyur, Chennai",Selaiyur,['South Indian'],Invalid,200,3.8,32,3.9,69,"['Home Delivery', 'Indoor Seating']"
Shallots," 36, Rangan Street, Opposite GRT Jewellery, T. Nagar, Chennai",T. Nagar,"['North Indian', ' Biryani', ' Chinese', ' Chettinad']",Invalid,500,3.1,38,3,569,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
Kungfu Paan Da," 5B, Spartan Nagar, Mogappair East, Chennai",Mogappair,"['Desserts', ' Paan']",Invalid,150,None,Does not offer Dining,3.9,39,"['Home Delivery', 'Desserts and Bakes']"
Appachi Family Restaurant," 113, 8th Block, Kavimani Salai, Mogappair, Chennai",Mogappair,"['North Indian', ' South Indian', ' Chinese']",Invalid,650,3.6,25,3.9,250,"['Home Delivery', 'Indoor Seating']"
The Biryani Life," 13/15, Mahalakshmi Nagar, Karapakkam, Porur, Chennai",Porur,"['Biryani', ' North Indian']",Invalid,350,None,Does not offer Dining,4.2,127,['Delivery Only']
Nawab Biriyani," 1, Pazhandiyamman Kovil Street, Adambakkam, Chennai",Adambakkam,"['North Indian', ' Chinese', ' BBQ', ' Biryani']",Invalid,400,3.3,34,3.5,382,"['Home Delivery', 'Indoor Seating']"
Biriyani Brothers," 339/2, Chennai Corporation Ward 69, Paper Mills Road, Perambur, Chennai",Perambur,"['Biryani', ' Chinese', ' Seafood']",Invalid,500,None,Does not offer Dining,4.1,202,['Home Delivery']
Diet In," 7, West Sivan Kovil Street, Near Vasan Eyecare, Vadapalani, Chennai",Vadapalani,['South Indian'],Invalid,200,3.5,22,None,Does not offer Delivery,"['Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Durrant's Bar - WelcomHotel," WelcomHotel, 10, Cathedral Road, Gopalapuram, Chennai","WelcomHotel, RK Salai (Cathedral Road)",['Finger Food'],Invalid,3000,3.5,21,None,Does not offer Delivery,"['Wheelchair Accessible', 'Full Bar Available', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required', 'LGBTQIA Friendly', 'Nightlife', '4/5 Star']"
G Surya Narayana Snacks Centre," 29, Deenadayal Street, T. Nagar, Chennai",T. Nagar,['Street Food'],Invalid,100,3.9,29,None,Does not offer Delivery,"['Breakfast', 'Takeaway Only']"
Hotel Kavin," 1/8, Amman Kovil Street, Ramapuram, Chennai",Ramapuram,"['South Indian', ' Chinese']",Invalid,200,3.5,31,3.4,228,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Quality - Inn," 65 ECR, Panaiyur, Akkarai, Chennai",Akkarai,"['South Indian', ' Chinese']",Invalid,400,3.5,34,4,227,"['Home Delivery', 'Indoor Seating']"
Food Lover," 150/A, Bharathiyar Street, Veerapuram, Mahindra World City, Chengalpattu, Chennai","Mahindra World City, Chengalpattu","['North Indian', ' Chinese', ' Arabian']",Invalid,500,3.1,39,3.6,2616,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
North Chappathies," 77, RP Road, Velmurugan Nagar, Hasthinapuram, Chromepet, Chennai",Chromepet,"['North Indian', ' Chinese']",Invalid,350,None,Does not offer Dining,3.9,983,"['Home Delivery', 'Vegetarian Only']"
Taibah," 18/1, Sait Colony, 1st Street, Egmore, Chennai",Egmore,"['Mughlai', ' Kebab']",Invalid,500,3.9,23,4.1,246,"['Home Delivery', 'Serves Halal', 'Indoor Seating', 'Self Service']"
Rithika Bhavan," Onnaiamman Koil, 1st Street, Ponniamman Koil Street, Sholinganallur, Chennai",Sholinganallur,"['South Indian', ' Chinese']",Invalid,250,3.1,33,3.6,2004,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
R Cube - Hotel SRR Grand," Hotel SRR Grand, GST Road, Vandalur","Hotel SRR Grand, Vandalur","['Chinese', ' Biryani']",Invalid,500,3.6,36,3.7,276,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
SPR Food Court," New 5, Visalatchi Nagar, Ekkaduthangal, Chennai",Ekkaduthangal,"['Biryani', ' South Indian', ' Fast Food', ' Street Food', ' Sandwich']",Invalid,200,3.5,28,3.9,108,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Maggi Point," 7/1, Maraimalai Nagar MPTY, Bajanai Kovil Street, Potheri Kattankulathur Post, Potheri, Chennai",Potheri,"['Fast Food', ' Beverages']",Invalid,250,None,None,None,None,"['Home Delivery', 'Indoor Seating']"
Madurai Sri Devar Mess," 2, Kumaran Nagar, Thiruvallur Salai, Sholinganallur, Chennai",Sholinganallur,"['Chettinad', ' Chinese']",Invalid,300,3.2,35,3.7,2164,"['Home Delivery', 'Indoor Seating']"
Real Pizza Corrner," 2, Thangamani Street, NSK Rane, Near Zoho IT Park, Potheri, Chennai",Potheri,"['Pizza', ' Burger', ' Italian', ' Mexican']",['Pizza'],500,3.6,29,3.5,69,"['Home Delivery', 'Indoor Seating']"
Apple Andhra Family Restaurant," 8/1, Blanganagadahar Thilakar Street, Kandan Chavadi, Perungudi, Chennai",Perungudi,['Andhra'],Invalid,300,3.5,28,3.7,343,"['Home Delivery', 'Indoor Seating']"
Four 60 Restaurant," 1/460, Mount Poonamallee Road, Porur, Chennai",Porur,"['South Indian', ' North Indian', ' Chinese']",Invalid,400,2.9,35,3.8,80,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Buffet']"
Meena Veg Restaurant," 12, South Mada Street, Thiruvanmiyur, Chennai",Thiruvanmiyur,"['Street Food', ' Fast Food', ' North Indian', ' South Indian', ' Beverages']",Invalid,500,3.3,31,3.7,180,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Wifi']"
Prabha Foods," 9, South Station Road, Venkatraman Nagar, Korattur, Ambattur, Chennai",Ambattur,"['Chinese', ' Biryani']",Invalid,300,3.7,35,4,1810,"['Home Delivery', 'Indoor Seating']"
Ar Raziq Beef Kebab Centre," 9/1, Sadiq Basha Nagar, Virugumbakkam, Chennai",Virugambakkam,"['Kerala', ' Chinese', ' Biryani']",Invalid,500,3,31,3,329,"['Home Delivery', 'Indoor Seating']"
Sorgam Bar," Hotel Vassi Palaze, 3, CMDA Town Centre, Maraimalai Nagar, Kattankulathur Village, GST Road, Kanchipuram District, Chennai","Hotel Vassi Palaze, Kanchipuram District",['Finger Food'],Invalid,1000,3.2,39,None,Does not offer Delivery,"['Full Bar Available', 'Nightlife', 'Smoking Area', 'Valet Parking Available', 'Indoor Seating']"
CFX Cinema Food Xperience Resto Cafe," E 28, 1st Floor, 2nd Avenue, Besant Nagar, Chennai",Besant Nagar,"['Cafe', ' Continental', ' Desserts']",Invalid,700,3.5,20,None,Not enough Delivery Reviews,"['Home Delivery', 'Live Entertainment', 'Indoor Seating', 'Desserts and Bakes', 'Live Music']"
Atho Spot," 3, Mount Poonamalle High Road, Adithi Colony, Sabari Nagar, Mugalivakkam, Ramapuram, Chennai",Ramapuram,"['Street Food', ' Burmese']",Invalid,150,2.5,29,3.7,521,"['Home Delivery', 'Outdoor Seating']"
XO Belgian Waffle," E1-A6, 92, OMR Food Street, Navallur, Chennai","OMR Food Street, Navallur","['Desserts', ' Beverages']",Invalid,500,3.5,32,4.2,427,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Hearth - Hablis Hotel," Hablis Hotel, 19 GST Road, Guindy, Chennai","Hablis Hotel, Guindy",['Cafe'],Invalid,1000,3.4,35,None,Does not offer Delivery,"['Indoor Seating', 'Table reservation required']"
Gate Of Madras," 12A, Parsn Complex, Kodambakkam High Road, Nungambakkam, Chennai",Nungambakkam,"['BBQ', ' North Indian', ' Chinese']",Invalid,400,3.4,31,3.8,37,"['Home Delivery', 'Indoor Seating']"
Araffa Biryani," D 242, LIG II, TNHB Colony, 3rd Main Road, Velachery, Chennai",Velachery,"['South Indian', ' Chinese', ' Chettinad']",Invalid,400,3.5,35,3.8,3011,"['Home Delivery', 'Indoor Seating']"
Kings Vada Pav," 59, Dr Alagappa Chetty Road, Purasavakkam, Chennai",Purasavakkam,"['Street Food', ' Fast Food']",Invalid,200,None,Does not offer Dining,4,605,"['Home Delivery', 'Vegetarian Only']"
Mingx Kittchenz," 63, Vaithyalingam Salai, 3rd Cross Street, Neelangarai, Chennai",Neelangarai,['South Indian'],Invalid,250,3,28,3.8,511,"['Home Delivery', 'Indoor Seating']"
The Cake Door," 390/2, Mint Street, Sowcarpet, George Town, Chennai",George Town,['Bakery'],Invalid,300,3.5,5,None,Does not offer Delivery,"['Takeaway Only', 'Pre-Ordering Required', 'Home Baker']"
Suriya Sweets," 66/47, 1st Main Road, RA Puram, Chennai",RA Puram,"['Mithai', ' Street Food']",Invalid,100,3.4,28,None,Does not offer Delivery,"['Breakfast', 'Takeaway Only', 'Vegetarian Only', 'Free Parking', 'Desserts and Bakes']"
J's Food Souk," 51, Sigaram Towers, Kuamran Colony, Vadapalani, Chennai",Vadapalani,"['South Indian', ' Beverages']",Invalid,200,2.8,31,3.3,673,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Thirukkural Unvagam," 5, Brodees Road, Near Government Girls School, Karayan Chavadi, Poonamalle, Chennai",Poonamalle,['South Indian'],Invalid,150,3.7,32,3.6,106,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
North Indian Food Express," 3/452 E, NIK Avenue, Rajiv Gandhi Salai, Mettukuppam, Thuraipakkam, Chennai",Thuraipakkam,['North Indian'],Invalid,300,3.5,42,3.6,3322,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
New Pamba Multicuisine Restaurant," Shop 1, Spurtank Road, Chetpet, Chennai",Chetpet,"['North Indian', ' South Indian', ' Chinese', ' Beverages']",Invalid,400,3.2,35,3.9,45,"['Home Delivery', 'Indoor Seating']"
Sriram Bhojanam," 700/5, Sabari Salai, Madipakkam, Chennai",Madipakkam,['South Indian'],Invalid,300,3.3,32,3.8,2442,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Sri Krishna Sweets And Bakery," 17, Karayanchavadi, Avadi Road, Poonamallee, Chennai",Poonamalle,"['Mithai', ' Bakery']",Invalid,350,None,Does not offer Dining,4,186,"['Home Delivery', 'Desserts and Bakes']"
Raju Omlet," Shop 1, Plot 167/7A, Old Mahabalipuram Road, Karapakkam, Chennai",Karapakkam,"['Fast Food', ' North Indian', ' Beverages']",Invalid,300,3.7,21,3.7,51,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Old No 7," 5-360, 2nd Floor, Rajiv Gandhi Salai, OMR, Thuraipakkam, Chennai",Thuraipakkam,"['Bar Food', ' Chinese', ' Continental', ' North Indian']",Invalid,1500,3.5,31,None,Does not offer Delivery,"['Full Bar Available', 'Table booking recommended', 'Nightlife', 'Indoor Seating', 'Resto Bar']"
Hotel Sri Vembu Bhavan," 7/929, TVS Avenue, Anna Nagar West, Chennai",Anna Nagar West,"['South Indian', ' Chinese', ' Juices']",Invalid,300,3.6,35,3.9,377,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Dindugal Thalapakattu," 3, OMR, Mettukuppam, Thuraipakkam, Chennai",Thuraipakkam,"['Chinese', ' Seafood', ' North Indian']",Invalid,400,3.6,29,None,Does not offer Delivery,['Indoor Seating']
Kazim's Biryani," 11, Rajendraprasad Road, Nehru nagar, Chromepet, Chennai",Chromepet,"['South Indian', ' Chinese', ' Arabian', ' Biryani']",Invalid,350,3.6,39,3.9,723,"['Home Delivery', 'Indoor Seating']"
Sandwich @ 42," 21, New Colony, Velachery, Chennai",Velachery,"['Sandwich', ' Fast Food', ' Beverages']",Invalid,450,3.2,32,3.8,2355,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Chithirakkudi," 6th Main Road, New Colony, Chromepet, Chennai",Chromepet,['Chettinad'],Invalid,250,3.5,30,3.8,379,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
MIXX," Hotel Fortel, 3, Gandhi Irwin Road, Egmore, Chennai","Hotel Fortel, Egmore",['Finger Food'],Invalid,2200,2.3,29,None,Does not offer Delivery,"['Wheelchair Accessible', 'Full Bar Available', 'Nightlife', 'Wifi', 'Smoking Area', 'Free Parking', 'Indoor Seating', 'Valet Parking Available']"
Flavours Of Banaras," 161/72, TTK, CIT Colony, Alwarpet, Chennai",Alwarpet,"['Paan', ' Beverages']",Invalid,350,3.6,21,3.9,29,"['Home Delivery', 'Outdoor Seating']"
Hotel Sri Mahalakshmi," 35, Rajiv Gandhi Salai, Seevaram, Perungudi, Chennai",Perungudi,['South Indian'],Invalid,250,3.8,36,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
The Pizza King," 1/186, Kaliamman 6th Street, Karapakkam, Chennai",Karapakkam,"['Pizza', ' Fast Food']",Invalid,300,None,Does not offer Dining,3.6,406,['Home Delivery']
MARS - Biriyani & Barbecue - HUT," Shop 1, Vikram Plaza, 60 Feet Annanur Railway Station Road, Annanur, Avadi, Chennai",Avadi,['Biryani'],Invalid,200,3.6,36,3.7,274,"['Home Delivery', 'Bulk Orders Accepted', 'Indoor Seating']"
Lassi Di Hatti," 9, MGR Salai, Opposite S.P. Infocity, Kodandarama Nagar Perungudi, Perungudi, Chennai",Perungudi,"['Street Food', ' Beverages']",Invalid,200,3.1,22,3.6,93,"['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']"
Le Shawarma Kings," Tambaram Sanatorium, Tambaram, Chennai",Tambaram,"['Lebanese', ' Fast Food']",Invalid,250,3.7,28,4.1,88,"['Home Delivery', 'Outdoor Seating']"
Andhra Chillies," 2, Pillaiyar Koil Street, Annanagar, Taramani, Chennai",Taramani,"['Biryani', ' Andhra']",Invalid,300,3,39,3.6,830,"['Home Delivery', 'Indoor Seating']"
Curry on Fire by Sketch," 41, Ground Floor, Anugraha, Near Taj Coromandel, Nungambakkam, Chennai",Nungambakkam,['Chinese'],Invalid,500,None,Does not offer Dining,4.2,689,"['Breakfast', 'Home Delivery']"
Burmese Kitchen," 133, Food Street, Poonamallee High Road, NH 45, Velappanchavadi, Maduravoyal, Chennai",Maduravoyal,['Burmese'],Invalid,200,3.7,30,4.3,110,"['Home Delivery', 'Indoor Seating']"
CoCoChilli," 3, PC 1 Kambar Salai, Mogappair, Chennai",Mogappair,"['Italian', ' Chinese', ' Biryani', ' Fast Food']",Invalid,650,3.4,20,3.9,33,"['Home Delivery', 'Indoor Seating']"
Urban Treat Multicuisine BBQ Restaurant," First Floor, 245, Thanthai Periyar Nagar, Velachery Main Road, Pallikaranai, Chennai",Pallikaranai,"['North Indian', ' Seafood', ' BBQ', ' Chinese', ' Arabian', ' Desserts']",Invalid,400,3.2,27,3.6,615,"['Home Delivery', 'Outdoor Seating', 'Available for Functions', 'Indoor Seating']"
New Besst Hotel," 245/1, OMR Road, Padur, Chennai",Padur,"['South Indian', ' North Indian', ' Chinese']",Invalid,350,3.4,48,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']"
Chai Junction," 15, New West Street Avvai Nagar, Choolaimedu, Chennai",Choolaimedu,"['Fast Food', ' Beverages']",Invalid,400,3.6,28,3.4,38,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Combo Maniac," 4 & 5, 1st Floor, PV Vaithiyaligam Road, Thiruvallur Nagar, Pallavaram, Chennai",Pallavaram,"['North Indian', ' Chinese']",Invalid,300,None,Does not offer Dining,3.1,257,['Delivery Only']
Capri," Old 122, New 6, Behind LIC Building, General Patters Road, Royapettah, Chennai",Royapettah,"['Chinese', ' Seafood', ' Mughlai', ' Chettinad']",Invalid,450,3.6,37,4.1,432,"['Home Delivery', 'Indoor Seating']"
Padma's Grill," 24/11, West Karikalan Street, Adambakkam, Chennai",Adambakkam,"['North Indian', ' Chinese', ' Chettinad']",Invalid,300,None,Does not offer Dining,3.7,100,['Home Delivery']
The Seafarers," 5, 3rd Main Road, Vellalar Street, Ambattur, Chennai","OMR Food Street, Ambattur","['Seafood', ' North Indian', ' Chinese']",Invalid,450,2.9,17,2.6,35,"['Home Delivery', 'Indoor Seating', 'Free Parking']"
Eskopop," 17A/29, Barnaby Road, Kilpauk, Chennai",Kilpauk,"['Ice Cream', ' Beverages']",Invalid,200,3.4,16,None,Not enough Delivery Reviews,"['Home Delivery', 'Outdoor Seating', 'Desserts and Bakes']"
Annachi Lalackadai," 3, Ayyapakkam Main Road, M.G.R. Puram West, Ayyapakkam, Ambattur, Chennai",Ambattur,"['North Indian', ' Mithai']",Invalid,300,3.7,39,4,1423,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Sweet Delight," 19/8, Malayappan street, Mandavelipakkam, Santhome, Chennai",Santhome,"['Bakery', ' Desserts']",Invalid,400,None,Does not offer Dining,3.9,15,"['Home Delivery', 'Pre-Ordering Required', 'Desserts and Bakes', 'Home Baker']"
Chicken Darbar," 4A, Padma Nagar, Kolathur, Chennai",Kolathur,"['Biryani', ' South Indian', ' Chinese', ' Chettinad']",Invalid,300,3.5,22,3.3,66,"['Home Delivery', 'Indoor Seating']"
New Royal Briyani Elite," Shop 9A, 53, MG Nagar, Devi Karumariamman, Kovil Street, Taramani, Chennai",Taramani,"['Biryani', ' North Indian']",Invalid,350,None,Does not offer Dining,3.6,1112,"['Home Delivery', 'Standing Tables']"
Salt & Pepper," 4/12, Reddy Street, Virugambakkam, Chennai",Virugambakkam,"['Chettinad', ' Chinese', ' North Indian']",Invalid,550,3.3,33,4.2,907,"['Home Delivery', 'Indoor Seating']"
Sri Amma Mess," 102, VGP Srinivasa Nagar, Madambakkam Main Road, Selaiyur, Chennai",Selaiyur,"['South Indian', ' Chinese', ' Beverages', ' Chettinad']",Invalid,250,3.1,26,3.7,504,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Best Biriyani," 31/3, Kutchery Road, Mylapore, Chennai",Mylapore,"['Biryani', ' Chinese', ' North Indian', ' South Indian']",Invalid,450,3.1,27,4.3,377,"['Home Delivery', 'Indoor Seating']"
Fire Wood Biryani," 1, Ground Floor, Raj Kumar Regency, By Pass Road, Opposite Gurunanak College, Velachery, Chennai",Velachery,"['Biryani', ' North Indian', ' Momos']",Invalid,400,2.7,26,4,188,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Chennai Chowpatty," 52, 7th Cross Street, Pulla Avenue, Shenoy Nagar, Chennai",Shenoy Nagar,"['South Indian', ' Fast Food', ' North Indian']",Invalid,250,None,Does not offer Dining,4.1,245,"['Home Delivery', 'Standing Tables']"
Quality's Briyani," 10,Agaram Main Road Srinivasaa Nagar, Selaiyur, Chennai",Selaiyur,"['North Indian', ' Mughlai', ' Chinese']",Invalid,400,3,44,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']"
Thallu Vandi," Metro Super Market, Perumbakkam Main Road, Medavakkam, Chennai",Medavakkam,"['South Indian', ' North Indian', ' Chinese', ' Biryani']",Invalid,550,3.5,40,3.3,1377,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']"
Lassi Cream," 10/11, Loganathan Colony, Chennai City Center, Dr. Radha Krishnan Salai, Mylapore, Chennai","Chennai Citi Centre, Mylapore","['Beverages', ' Ice Cream']",Invalid,200,3.4,30,3.8,1054,"['Home Delivery', 'Outdoor Seating']"
Chin Chin Thai Kitchen," 19, First Floor, Muthumariamman, Kovil Street, Thanthai Periyar Nagar, Taramani, Chennai",Taramani,"['North Indian', ' Thai']",Invalid,350,None,Does not offer Dining,3.8,101,['Home Delivery']
Hotel Pandiyan," 49, By-Pass Road, Omsakthi Nagar, Vanagaram, Porur, Chennai",Porur,['South Indian'],Invalid,500,3.2,40,3.6,2419,"['Home Delivery', 'Indoor Seating']"
Devasahayam Pillai Enterprises," 320, Sardar Vallabhai Patel, Mettu Street, Mannivakkam, Kattankulathur, Adyar, Chennai",Adyar,['South Indian'],Invalid,100,3.5,35,3.7,48,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Grand Multi-Cuisine Restaurant," 233, Velachery Main Road, Velachery, Chennai",Velachery,"['South Indian', ' Chinese', ' North Indian']",Invalid,800,3.6,37,4,508,"['Home Delivery', 'Free Parking', 'Buffet', 'Indoor Seating']"
Indorewala," 92, Old Mahabalipuram Road, Near AGS Cinemas, Navalur, Sholinganallur, Chennai",Sholinganallur,"['North Indian', ' Street Food']",Invalid,300,3.7,35,3.6,103,"['Home Delivery', 'Outdoor Seating']"
Takkaru Biriyani," Kovalam Road, Mahabalipuram, Chennai",Mahabalipuram,"['Chettinad', ' Biryani', ' Chinese']",Invalid,550,3.5,31,3.2,534,"['Home Delivery', 'Indoor Seating']"
Karthikeya Authentic Andhra Restaurant," 9, MGR Salai, Kandanchavadi, Perungudi, Chennai",Perungudi,"['North Indian', ' South Indian', ' Biryani', ' Chinese']",Invalid,400,3.7,35,3.9,56,"['Home Delivery', 'Indoor Seating']"
Alagar Restaurant," 23, Rajiv Gandhi Salai, Sholinganallur, Chennai",Sholinganallur,"['South Indian', ' Biryani', ' Chinese', ' Street Food']",Invalid,400,3.7,31,3.9,152,"['Home Delivery', 'Indoor Seating']"
Bakebox," 38, Jermiah Road, Vepery, Chennai",Vepery,['Bakery'],Invalid,350,3.8,11,None,Does not offer Delivery,"['Takeaway Only', 'Vegetarian Only', 'Pre-Ordering Required', 'Desserts and Bakes', 'Home Baker']"
The Hommus Family," C 091, 9th Floor, C Block, DLF Commanders, Egmore, Chennai",Egmore,['Lebanese'],Invalid,500,None,Does not offer Dining,3.9,39,"['Home Delivery', 'Vegetarian Only', 'Pre-Ordering Required']"
Adukalai," OMR Food Street, Navallur, Chennai","OMR Food Street, Navallur",['South Indian'],Invalid,400,3.6,27,None,Does not offer Delivery,"['Indoor Seating', 'Table Reservation Not Required']"
Lassi House Ice House," 51, T.P Koil Street, Dr. Besant Road, Triplicane, Chennai",Triplicane,"['Beverages', ' Desserts']",Invalid,200,2.7,27,3.9,1037,"['Home Delivery', 'Outdoor Seating']"
Blueberry Cakes," 160, Guduvancherry, GST Road, Chennai",GST Road,['Bakery'],Invalid,250,3,36,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Chennai Kebab," 37/20, RS Sridhar Salai, Near IOB Bank, Kotturpuram, Chennai",Kotturpuram,['Fast Food'],Invalid,300,None,Does not offer Dining,3.8,248,['Home Delivery']
Sultan Biryani," 45/91, Medavakkkam Main Road, Madipakkam, Chennai",Madipakkam,"['Biryani', ' Fast Food', ' Chinese']",Invalid,400,3.6,17,3.6,345,"['Home Delivery', 'Indoor Seating']"
Friends Food Court," 58, 51, M.t.h Road, Victory Avenue Thirumullaivoya, Ambattur, Chennai",Ambattur,"['South Indian', ' Chinese']",Invalid,200,2.9,11,3.9,308,"['Home Delivery', 'Indoor Seating']"
Al Taj," 35/14, Urapakkam, GST Road, Chennai",GST Road,"['Arabian', ' North Indian', ' Biryani', ' Chinese', ' South Indian']",Invalid,600,3.4,44,3.9,362,"['Home Delivery', 'Indoor Seating']"
Yo! Frankie," 48 A, Tharamani High Road, Opposite TCS, Taramani, Chennai",Taramani,"['Fast Food', ' Momos']",Invalid,400,3,29,3.6,1328,"['Home Delivery', 'Outdoor Seating']"
Hotel Ananda," 5, Medavakkam, Main Road Moovarasampet, Subramanian Nagar, Madipakkam, Chennai",Madipakkam,"['South Indian', ' Chinese', ' North Indian']",Invalid,600,3.4,35,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Kanishka Kulfi," 501, Mint Street, Sowcarpet, Chennai",Sowcarpet,"['Desserts', ' Ice Cream', ' Street Food', ' Beverages']",Invalid,150,3.6,21,3.7,178,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Food Park," 9/2, Chitra Complex, Choolaimedu, Chennai",Choolaimedu,"['North Indian', ' Chinese']",Invalid,350,3.2,35,4,239,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']"
Cake Delights," 666 A, T.H.Road, Opposite Akash Hospital, Tiruvottiyur, Chennai",Tiruvottiyur,"['Bakery', ' Ice Cream', ' Fast Food']",Invalid,400,3.3,9,4.4,81,"['Home Delivery', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes']"
Lassi Bistro," 1/1, MSS Enclave, Basha Street, Choolaimedu, Chennai",Choolaimedu,"['Fast Food', ' Beverages']",Invalid,350,3.5,25,3.8,307,"['Home Delivery', 'Indoor Seating']"
90s Kids Food," 3/2, Valluvar Salai, Ramapuram, Chennai",Ramapuram,"['South Indian', ' Chinese', ' Fast Food']",Invalid,250,3.7,28,3.9,25,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Arasi Chettynadu Mess," 20, CNK Road, Opposite Cricket Stadium, Triplicane, Chennai",Triplicane,"['South Indian', ' Chettinad']",Invalid,200,3.8,22,None,Does not offer Delivery,['Indoor Seating']
Kebabistaan," 786, Annasalai, Nandanam, Chennai",Nandanam,"['Kebab', ' North Indian', ' Rolls']",Invalid,500,3.1,23,3.9,60,"['Home Delivery', 'Indoor Seating']"
Lassibae," 2, 41, Perumal Kovil Street, Kunkumam Nagar, Porur, Chennai",Porur,"['Beverages', ' Fast Food']",Invalid,250,3.5,22,3.4,1374,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Grace Cakes & Sweets," 56/198, Ramaswamy Salai, K.K. Nagar, Chennai",K.K. Nagar,"['Bakery', ' Street Food']",Invalid,200,2.9,24,None,Does not offer Delivery,"['Indoor Seating', 'Desserts and Bakes']"
Sri Krishna Bhavan," 8, 10th Avenue, Ashok Nagar, Chennai",Ashok Nagar,"['Chinese', ' South Indian']",Invalid,500,3,23,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating', 'Buffet', 'Table reservation required']"
Chennai Annapoorna," 3, OMR Road, Next to Satyabama University, Semmancheri, Chennai",Semmancheri,"['South Indian', ' North Indian', ' Chinese', ' Street Food']",Invalid,300,2.9,42,None,Not enough Delivery Reviews,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Get 2 Gether," 25th Street, Sundar Nagar, Alapakkam Main Road, Porur, Chennai",Porur,"['Fast Food', ' Italian', ' Beverages']",Invalid,350,3.6,25,3.6,56,"['Home Delivery', 'Free Parking', 'Indoor Seating']"
Indian Biryani House," 17th, Cross Street, Shenoy Nagar, Chennai",Shenoy Nagar,"['North Indian', ' Biryani', ' Chinese', ' Mughlai']",Invalid,500,3.4,22,3.6,384,"['Home Delivery', 'Outdoor Seating']"
Tea Break," 2/580, Mettu Street, Iyyapanthangal Main Road, Poonamalle, Chennai",Poonamalle,"['Fast Food', ' Chinese', ' Beverages']",Invalid,350,3.3,33,3.1,1288,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
The Lounge - Holiday Inn," Holiday Inn Chennai OMR IT Expressway, 3rd Floor, Rajiv Gandhi Salai, Old Mahabalipuram Road, Taramani, Chennai",Holiday Inn Chennai OMR IT Expressway,"['Bakery', ' Fast Food']",Invalid,800,3,25,None,Not enough Delivery Reviews,"['Home Delivery', 'Beer', 'Free Parking', 'Table booking recommended', 'Indoor Seating', 'Desserts and Bakes']"
