Name,Location,country,Price for 2,Dining Rating,Delivery Rating,food,Dining Rating Count
Inzy?Âs Garden Restaurant,Egatoor,Japanese,650,4.0,3.3,Tempura Donburi ,348
Wok Monk,Anna Nagar West,Japanese,1200,4.6,3.9,Omuraisu Omuraisu ,459
Broken Bridge Cafe,Somerset Greenways,Chinese,1200,4.3,3.9,Dumplings Wontons ,444
Firdouse,Triplicane,Korean,800,3.7,4.5,Tteokbokki Japche ,528
Indiska Magic,Chetpet,Chinese,400,4.2,4.1,Dumplings Dumplings ,291
Anjappar,Porur,Korean,700,3.4,3.9,Japche Bulgogi ,324
Ilapuram Biryani,Porur,Japanese,700,3.7,2.8,Donburi Udon ,459
The Potroast,Porur,Western,600,3.3,2.7,Salad Sandwich ,459
Top Notch,Anna Nagar East,Japanese,1300,4.1,3.7,Omuraisu Donburi ,566
Savya Rasa,Kotturpuram,Japanese,1600,4.4,3.9,Udon Omuraisu ,443
Winterfell,Velachery,Chinese,400,4.2,3.9,SpringRoll SpringRoll ,391
Bombaysthan,Adyar,Western,450,4.1,4.2,Hamburger Pizza ,441
Underbelly,Anna Nagar West,Korean,1000,4.1,3.7,Bibimbap Bulgogi ,430
196 Degree Below,Alwarpet,Dessert,450,4.0,4.0,Donut Donut ,438
Zing Wing Restaurant,Avadi,Chinese,350,4.0,4.1,SpringRoll Dumplings ,350
Nammaa Kitchen,Taramani,Dessert,600,4.2,3.8,Brownies Cupcake ,450
Kaaraikudi,Ashok Nagar,Dessert,700,4.0,4.1,Cookie Cupcake ,429
Cafe Society,Tambaram,Dessert,500,3.8,3.6,Cookie Cookie ,377
Shakos,Nungambakkam,Korean,600,4.3,4.1,Japche Bibimbap ,339
Spice Trail,Egmore,Western,450,4.0,3.7,Salad Pizza ,412
Parfait Cakes And Bakes,Velachery,Korean,600,4.1,3.9,Bulgogi Bulgogi ,402
Carnival Food And Entertainment Zone,Pallikaranai,Chinese,700,3.9,3.9,SpringRoll Dimsum ,519
Coffeetales,Anna Nagar East,Dessert,500,4.1,4.1,Brownies Donut ,410
Chai Kings,Anna Nagar East,Japanese,200,4.1,4.0,Omuraisu Sushi ,319
Santrupti Vegeterian,Ramapuram,Dessert,1000,4.1,3.8,Cupcake Cupcake ,320
The Barbarian Turf,Potheri,Chinese,700,2.8,3.7,Dimsum SpringRoll ,586
Signal Tod Cafe,"OMR Food Street, Guduvancheri",Chinese,250,4.3,3.9,SpringRoll Wontons ,445
Guest Hotel,Kilpauk,Japanese,400,4.0,4.0,Omuraisu Udon ,266
Nawab's Dine,Potheri,Korean,500,4.3,4.0,Tteokbokki Tteokbokki ,578
Ramzan Mehal Briyani,Kilpauk,Korean,300,3.6,3.6,Tteokbokki Tteokbokki ,450
Arcot Biriyani,Porur,Japanese,250,4.0,3.5,Omuraisu Omuraisu ,254
Drunken Monkey,Nungambakkam,Japanese,400,4.1,4.4,Ramen Sushi ,447
Al Souk,Nungambakkam,Korean,750,4.1,4.1,Japche Japche ,244
Hotel Delma,Porur,Dessert,900,3.3,3.8,Cookie Donut ,347
Ambur Star Biryani,Velachery,Western,600,3.8,4.1,Pizza Hamburger ,343
Sachin Ka Dhabba,Thuraipakkam,Western,500,2.1,3.8,Steak Hamburger ,462
Grill House,Nungambakkam,Western,850,3.7,4.0,Sandwich Sandwich ,247
The Coffee Bean & Tea Leaf,"Phoenix Market City, Velachery",Japanese,700,4.0,3.9,Udon Omuraisu ,385
Brunchies All Day,Anna Nagar West,Japanese,800,4.0,3.9,Tempura Ramen ,382
Anu's Punjabi Dhaba,Gopalapuram,Japanese,800,4.1,4.3,Ramen Donburi ,277
Tosai Club,Thuraipakkam,Korean,600,4.1,3.7,Bulgogi Bibimbap ,365
Idlies,Ashok Nagar,Western,250,4.3,3.9,Hamburger Salad ,281
Hotel Beach House,Potheri,Korean,500,3.4,4.0,Bulgogi Japche ,548
Munveedu,Adyar,Japanese,550,3.9,3.9,Udon Sushi ,380
Old Madras Baking Company,Alwarpet,Korean,250,4.3,4.4,Bibimbap Japche ,343
Hot Chips,Medavakkam,Korean,400,3.7,3.7,Japche Bibimbap ,243
Hotel Kalyana Bhavan Biriyani,Egmore,Western,300,3.9,4.0,Pizza Sandwich ,413
Mansukh Sweets & Snacks,Ashok Nagar,Chinese,400,3.7,4.1,SpringRoll SpringRoll ,307
Atte - Glocal Cafe,Besant Nagar,Chinese,400,4.1,3.8,Dimsum SpringRoll ,372
The Hideout Bistro,Anna Nagar East,Japanese,900,4.1,3.8,Sushi Tempura ,369
Cafe 23,Anna Nagar East,Dessert,600,3.9,3.4,Cupcake Donut ,369
Cafe H,Anna Nagar West,Japanese,500,4.1,3.9,Tempura Omuraisu ,363
Chaa,Perungudi,Japanese,200,4.0,3.6,Ramen Omuraisu ,357
Tea Villa Cafe,T. Nagar,Korean,1000,4.2,3.9,Bulgogi Japche ,322
National Lodge,Sowcarpet,Chinese,300,4.2,3.8,Dumplings Dimsum ,520
Urban Desi House,Thuraipakkam,Korean,350,4.0,3.7,Bibimbap Bibimbap ,361
Urban Lounge,"Hotel Centre Point, Sholinganallur",Korean,1500,4.2,3.6,Japche Bulgogi ,511
London Grill N Shake,Egatoor,Chinese,600,3.9,3.9,Dumplings SpringRoll ,433
Arabian Rooster,K.K. Nagar,Dessert,400,3.9,3.9,Brownies Brownies ,480
Madurai Nachiar,Velachery,Western,350,3.6,3.4,Hamburger Hamburger ,542
Mathura Restaurant,Triplicane,Japanese,500,4.2,4.2,Sushi Sushi ,382
Sher E Punjab,Perungudi,Dessert,400,3.9,4.3,Cookie Donut ,348
Al Beck,Ambattur,Western,800,4.1,4.1,Salad Steak ,383
Shubh,Nungambakkam,Japanese,450,4.0,4.2,Ramen Donburi ,271
Al Shafin Multi Cuisine Restaurant,Perungudi,Chinese,1000,4.0,4.2,Wontons Dimsum ,421
The Belgian Waffle Co.,Nungambakkam,Chinese,300,4.1,4.0,Wontons Dumplings ,370
Shmoozie's Hand-Crafted Ice Creams,Egmore,Dessert,400,4.5,4.3,Cookie Brownies ,322
Rotiwala,Adyar,Dessert,250,3.9,3.5,Cupcake Cupcake ,376
Dynasty,"Harrisons Hotel, Nungambakkam",Dessert,1200,4.2,4.6,Cupcake Donut ,337
Aneef Biryani,T. Nagar,Western,300,3.9,3.3,Salad Pizza ,517
The Little White Kitchen,Kilpauk,Chinese,800,4.0,3.9,Dimsum Dumplings ,333
The Scoop Bar,Anna Nagar East,Korean,400,4.0,3.8,Bulgogi Bibimbap ,219
Sankranti,Anna Nagar East,Dessert,700,3.9,4.1,Brownies Donut ,339
The Cupcake Company,Alwarpet,Japanese,600,4.0,4.3,Omuraisu Sushi ,272
Mozza,Anna Nagar East,Western,900,3.9,3.9,Hamburger Steak ,169
Majestic 1963,Nandanam,Dessert,900,4.0,3.4,Cookie Donut ,296
Inchins,Anna Nagar West,Dessert,600,3.7,3.7,Brownies Cookie ,401
Kebapci,Nungambakkam,Chinese,500,4.3,3.7,SpringRoll Dimsum ,375
Amar Fast Food & Restaurant,T. Nagar,Japanese,800,4.0,4.1,Udon Tempura ,331
Winter Palace,Alwarpet,Dessert,1100,3.9,3.9,Brownies Cookie ,329
Matta Veg Food Corner,Ashok Nagar,Korean,250,3.8,3.8,Bibimbap Japche ,479
Rehoboth Biriyani and Kebabs,Thiruvanmiyur,Japanese,600,3.8,3.4,Sushi Omuraisu ,452
Suryas Chettinad Multi Cuisine Restaurant,Sholinganallur,Japanese,600,4.0,3.6,Donburi Donburi ,349
Kalo's,Besant Nagar,Dessert,500,4.1,3.8,Cupcake Donut ,323
Galito's,Velachery,Japanese,1000,4.2,4.0,Ramen Donburi ,316
Table 9,Potheri,Dessert,600,3.5,4.0,Cookie Cupcake ,439
Pappa Roti,"Phoenix Market City, Velachery",Korean,800,4.2,3.9,Bibimbap Bibimbap ,309
Naattarasan,GST Road,Dessert,500,4.0,3.9,Cupcake Brownies ,408
SGS Snackers,K.K. Nagar,Chinese,300,3.9,4.0,Dimsum Wontons ,351
Kathi Junction,Karapakkam,Chinese,300,3.8,3.5,Dimsum Wontons ,454
Goddy's,Nungambakkam,Dessert,1200,4.0,3.7,Donut Donut ,254
Jack N Jill Fast Food,Anna Nagar West,Chinese,400,4.1,3.9,Dimsum Wontons ,404
Toscano,Nungambakkam,Korean,1200,4.3,3.9,Bulgogi Bulgogi ,291
Craveyard Cafe,Adyar,Western,650,3.9,4.0,Steak Sandwich ,300
Cool Biz,Adyar,Western,250,4.2,3.9,Hamburger Pizza ,328
Cafe Amin,Royapettah,Chinese,550,4.0,4.3,Dumplings Dimsum ,350
De'cafe Restaurant,Old Mahabalipuram Road (OMR),Japanese,550,3.7,3.6,Donburi Tempura ,465
Rahman Biriyani,Ramapuram,Chinese,600,3.9,3.9,Dimsum SpringRoll ,332
Down South Multicuisine Restaurant,Selaiyur,Korean,500,4.1,4.0,Japche Tteokbokki ,440
That Waffle Place !,Kilpauk,Chinese,300,4.1,4.3,Wontons Dimsum ,289
The Rock,Anna Nagar East,Korean,700,2.0,3.9,Tteokbokki Tteokbokki ,442
HuTong,Alwarpet,Chinese,700,4.1,3.6,Dumplings Wontons ,255
New Desi Tadka,K.K. Nagar,Korean,900,3.9,3.7,Japche Japche ,312
Salem RR Biriyani Unavagam,Chromepet,Korean,600,4.1,4.0,Bibimbap Bibimbap ,333
Gold Dragon,Padur,Western,900,4.1,3.7,Hamburger Salad ,329
Bikkgane Biryani,Kottivakkam,Chinese,700,4.3,4.1,Dumplings Wontons ,335
The MaMa Shop,Anna Nagar East,Dessert,700,4.0,4.1,Cookie Cookie ,278
Robot Restaurant,Semmancheri,Chinese,1300,3.6,3.9,Wontons Dumplings ,341
Sanjeevanam,Nungambakkam,Japanese,850,4.1,4.0,Donburi Donburi ,337
Star Biriyani,Anna Nagar West,Korean,650,3.7,3.5,Bulgogi Tteokbokki ,394
Courtallam Border Parotta,Velachery,Western,750,2.2,3.4,Steak Pizza ,300
O.S.B Hot & Chat,West Mambalam,Chinese,300,4.0,4.0,Wontons Wontons ,391
80 Degrees East,Nanganallur,Western,600,3.8,4.1,Pizza Salad ,276
Yaki BBQ,Perungudi,Japanese,1200,3.7,3.6,Omuraisu Udon ,315
Sri Balaji Woodlands,Mogappair,Korean,450,3.9,3.9,Bibimbap Tteokbokki ,219
Al Barack,Tambaram,Korean,800,4.0,3.7,Japche Tteokbokki ,416
Flower Power Tea Room,Besant Nagar,Dessert,650,4.2,3.9,Brownies Donut ,264
Cereal Killer Bistro,Anna Nagar East,Dessert,500,3.9,3.4,Donut Cupcake ,265
Kolathur Kudumbam,Kolathur,Dessert,400,3.2,3.5,Cupcake Cupcake ,264
Royal North Indian,Porur,Chinese,400,4.0,4.0,SpringRoll Dimsum ,308
Frozen Bottle,Anna Nagar West,Dessert,350,3.7,4.2,Cupcake Cupcake ,261
Amala Chettinadu Mess,Anna Nagar East,Dessert,300,4.1,3.9,Donut Cupcake ,364
Milkshake And Co.,Besant Nagar,Western,400,4.4,4.2,Pizza Salad ,210
Hotel Millath,Royapettah,Dessert,500,3.9,3.9,Cookie Cupcake ,223
Sri Godavari Ruchulu,Padur,Korean,350,3.9,3.5,Bulgogi Tteokbokki ,458
Cheese N Freeze,Chromepet,Japanese,400,3.9,3.9,Ramen Sushi ,263
Brown House,Vandalur,Japanese,600,3.9,3.8,Donburi Donburi ,310
Sree Gupta Bhavan,GST Road,Western,550,3.9,4.2,Steak Sandwich ,267
High on Grills,Anna Nagar West,Western,850,4.0,3.4,Salad Salad ,168
Hungry Cars,Egatoor,Korean,800,4.0,2.9,Tteokbokki Tteokbokki ,246
Massbunk Restaurant,"Massbunk Complex, Purasavakkam",Chinese,500,4.0,3.5,SpringRoll Wontons ,250
M.A.D House,Kilpauk,Korean,400,3.9,4.3,Bulgogi Tteokbokki ,266
Pulusu,"OMR Food Street, Ambattur",Korean,700,4.2,3.7,Tteokbokki Tteokbokki ,322
Bharani Veg,Thiruvanmiyur,Dessert,600,3.9,3.7,Cookie Donut ,394
The Chocolate Room,Anna Nagar East,Korean,700,3.9,3.1,Bulgogi Bibimbap ,223
Karaikudi Chettinadu Mess,Chromepet,Japanese,550,3.5,3.7,Udon Ramen ,233
Rainbow Restaurant,T. Nagar,Dessert,550,3.7,3.7,Cupcake Brownies ,275
Quintessence - Hotel Raj Park Chennai,"Hotel Rajpark, Alwarpet",Chinese,1200,4.0,3.9,Dimsum SpringRoll ,240
Hotel Bhukara,Anna Nagar West,Chinese,650,2.6,3.3,SpringRoll SpringRoll ,213
Kriyates,Okkiyampet,Chinese,600,4.2,3.6,SpringRoll Wontons ,252
Akshaya Bhavan,Porur,Western,450,3.7,3.8,Sandwich Steak ,400
Ikkakas,Teynampet,Dessert,500,4.2,3.8,Donut Cupcake ,208
Nemesis Bistro By Arknemesis Gaming,"Ispahani Centre, Nungambakkam",Japanese,800,4.1,3.9,Donburi Tempura ,239
Iftar Corner,Perambur,Japanese,600,4.0,4.0,Udon Sushi ,329
Kozhi Idli,Gopalapuram,Chinese,300,4.3,4.0,Wontons Dumplings ,289
CafeÃÂ¨ 97,Thuraipakkam,Korean,700,4.2,3.8,Tteokbokki Bulgogi ,354
Ferraree,"Benzz Park, T. Nagar",Japanese,850,3.5,3.5,Tempura Ramen ,222
The ThickShake Factory,Ashok Nagar,Japanese,400,4.1,3.9,Donburi Tempura ,255
North View Kitchen,St. Thomas Mount,Dessert,700,4.0,3.6,Cupcake Donut ,225
What The Fork,"OMR Food Street, Navallur",Chinese,500,3.9,3.6,Wontons Dimsum ,225
The Patiala House,Chetpet,Chinese,800,4.0,3.8,Wontons Wontons ,252
Apple Bee's,Semmancheri,Chinese,700,2.5,3.7,Wontons Dimsum ,344
Royal Palate,"Ambica Empire, Vadapalani",Japanese,1000,3.7,4.2,Tempura Udon ,219
Rajputra,Nanganallur,Western,700,3.9,3.7,Sandwich Steak ,246
Appetizer,Chromepet,Korean,150,4.0,3.3,Bibimbap Tteokbokki ,345
Fish bone,Anna Nagar East,Korean,600,4.1,3.8,Japche Bulgogi ,254
Gem Exprezz,Navallur,Korean,450,3.9,3.8,Japche Tteokbokki ,333
Thai Food House,Alwarpet,Western,1000,3.9,3.7,Pizza Pizza ,198
Palm Jumeira,Nungambakkam,Western,800,3.9,3.9,Hamburger Steak ,283
Chocomans,Chromepet,Chinese,500,4.0,3.9,Dumplings Dimsum ,198
Hotel Runs,Adyar,Western,650,3.9,4.3,Hamburger Pizza ,304
Westfield Waffles,Besant Nagar,Japanese,250,4.0,3.3,Omuraisu Donburi ,201
ibaco,Okkiyampet,Korean,200,4.2,4.4,Bulgogi Bulgogi ,250
Jugo Cafe,Medavakkam,Chinese,500,4.0,3.7,SpringRoll Wontons ,195
New Loyola Fast Foods,Choolaimedu,Dessert,250,3.8,4.0,Cookie Cookie ,347
Time Passs,Karapakkam,Chinese,150,3.7,4.1,Dumplings Wontons ,334
Malliz,Porur,Dessert,450,3.7,3.8,Cookie Brownies ,246
Liu's Waldorf,Adyar,Korean,700,2.4,3.9,Tteokbokki Bulgogi ,298
Cafe Chef's Paradise,Choolaimedu,Korean,500,3.8,3.9,Bulgogi Tteokbokki ,277
London Bubble Co.,Kilpauk,Chinese,500,3.9,4.3,Wontons SpringRoll ,216
Chop 'n' Stix,Ashok Nagar,Western,500,3.9,3.8,Pizza Salad ,169
New Ayyanar Restaurant,GST Road,Japanese,600,3.4,4.0,Ramen Sushi ,353
UBCR Cafe & Resto,Tambaram,Korean,700,4.0,3.5,Japche Bulgogi ,225
Zamrud,Velachery,Western,800,3.1,3.8,Sandwich Hamburger ,277
Mishwar Restaurant,Nungambakkam,Chinese,1000,4.0,3.6,Dumplings SpringRoll ,268
Makers of Milkshakes,Adyar,Korean,350,4.2,4.1,Bulgogi Japche ,241
Hotel Santosi,Ramapuram,Korean,450,3.8,3.6,Tteokbokki Bulgogi ,369
Street Kitchen,Kolathur,Western,600,3.9,4.0,Pizza Hamburger ,233
Wrapsody,Injambakkam,Chinese,700,4.0,4.3,Dimsum Dumplings ,236
Street Shawarma,Mogappair,Dessert,300,3.2,3.8,Cookie Brownies ,367
Avatar,Porur,Chinese,800,3.8,3.2,Dumplings Wontons ,209
Eat street,Ramapuram,Japanese,400,4.1,3.8,Omuraisu Ramen ,344
Amazon Jungles,Perungudi,Chinese,900,4.0,4.1,Wontons Dumplings ,262
Hyderabad Mughal Biryani,Mogappair,Japanese,500,3.8,4.2,Ramen Udon ,354
Great Wall,Besant Nagar,Western,550,4.1,4.1,Hamburger Pizza ,199
First Cup,Nungambakkam,Japanese,400,2.2,3.7,Tempura Ramen ,187
Spazio Restaurant,Porur,Western,800,3.7,3.9,Hamburger Sandwich ,127
Aristos,Adyar,Korean,1300,3.5,3.4,Bulgogi Bulgogi ,168
Chennai Darbar,Ashok Nagar,Chinese,700,3.9,4.3,Dimsum Dumplings ,237
Delight Pizza,Perambur,Dessert,500,3.9,4.1,Donut Cookie ,228
Chai Kaapi,Nungambakkam,Chinese,400,3.9,4.1,SpringRoll Wontons ,180
New Classic Restaurant,Mylapore,Western,500,3.8,4.2,Sandwich Sandwich ,325
Zest Live Kitchen,Egatoor,Japanese,600,4.1,4.0,Udon Ramen ,312
Indore Zayka,Thuraipakkam,Japanese,400,4.0,3.9,Tempura Sushi ,328
Lattice,Adyar,Chinese,1500,4.1,3.9,SpringRoll Dumplings ,213
Shanthi Lakshmi Veg Restaurant,Nanganallur,Korean,300,3.6,3.7,Bibimbap Japche ,214
Yaa Mohideen Biryani Elite,Anna Nagar East,Korean,800,3.9,3.5,Bibimbap Bulgogi ,276
Minar Biriyani,Kottivakkam,Western,500,3.1,3.8,Salad Pizza ,194
Convo@C17,T. Nagar,Japanese,1000,3.8,3.5,Udon Ramen ,101
Barbeque Hut,Ambattur,Korean,500,3.9,3.7,Bibimbap Bibimbap ,286
Hotel Zum Zum,George Town,Chinese,600,3.8,3.8,Dumplings Dumplings ,330
Hotel Topsee,Adyar,Japanese,400,3.6,3.9,Tempura Tempura ,292
The Budapest Bakehouse,Kilpauk,Western,400,4.1,3.7,Sandwich Pizza ,250
Kumbakkarai,Nungambakkam,Dessert,850,4.1,4.0,Cupcake Cupcake ,279
Kolkata Chat,Alwarpet,Dessert,150,3.1,3.6,Cookie Brownies ,228
Mummy Daddy Andhra Mess,Taramani,Japanese,400,4.0,4.0,Donburi Tempura ,343
The Paradise,Selaiyur,Korean,600,4.0,4.0,Bulgogi Bibimbap ,292
Kebabery,Anna Nagar West,Chinese,600,3.9,3.5,SpringRoll Dimsum ,145
King's Kitchen,Anna Nagar East,Korean,500,4.0,3.8,Bulgogi Tteokbokki ,305
Rosewater,Anna Nagar East,Japanese,1500,3.9,3.9,Sushi Omuraisu ,161
Juice Pump,Kilpauk,Japanese,400,3.9,3.9,Udon Donburi ,241
Satpura,Thuraipakkam,Dessert,200,3.9,3.8,Donut Brownies ,292
Royalasthan,Mylapore,Chinese,550,3.8,3.5,Dumplings SpringRoll ,157
Daawat,Santhome,Korean,1000,4.2,3.9,Japche Bulgogi ,260
Kozhi Kari Mess,Ramapuram,Korean,700,4.1,4.0,Bulgogi Bulgogi ,155
Monk's Plate,Injambakkam,Korean,1500,3.9,3.9,Bibimbap Bibimbap ,221
Brunch,Mylapore,Japanese,350,4.0,3.9,Sushi Ramen ,272
Delhi Dhaba,Akkarai,Japanese,900,3.3,4.2,Sushi Udon ,245
Est - Hilton Chennai,"Hilton Chennai, Guindy",Japanese,1500,3.8,3.9,Tempura Donburi ,119
Bakers Spring,Royapuram,Chinese,350,3.9,4.3,Wontons Dumplings ,259
Oh So Stoned,Adyar,Chinese,350,4.0,3.5,Dimsum Dumplings ,189
Chennai Rawther Restaurant,Anna Nagar West,Korean,500,3.5,4.3,Japche Bulgogi ,233
FBN Express,Perungudi,Dessert,400,2.9,3.3,Cupcake Cupcake ,323
Cafe Toastie Express,Aminijikarai,Japanese,600,4.0,3.7,Sushi Sushi ,163
Glee,Thousand Lights,Chinese,1500,3.8,3.9,Wontons Wontons ,251
Sri Vaishnavaa's Chat Shop,Kilpauk,Chinese,200,4.0,4.2,SpringRoll Wontons ,225
Dine Time,"Mahindra World City, Chengalpattu",Chinese,550,3.4,3.8,Dimsum SpringRoll ,266
Smoke Barbeque,Kodambakkam,Korean,500,3.7,3.9,Bibimbap Japche ,237
Ryders Inn,Nanganallur,Western,300,3.6,3.7,Hamburger Steak ,339
Cafe Litt,Vepery,Chinese,700,4.1,3.8,Dimsum Wontons ,241
Madras Curry Cup,Nungambakkam,Dessert,450,3.7,3.8,Donut Cupcake ,220
Umar Biriyani Centre,Nanganallur,Western,300,3.9,3.8,Pizza Steak ,332
Chocolate Fantasy,T. Nagar,Chinese,300,3.9,4.3,SpringRoll Dimsum ,115
Creamy Inn,Anna Nagar East,Japanese,250,4.0,4.2,Tempura Omuraisu ,238
Delhi-6,Potheri,Japanese,250,3.7,3.6,Ramen Donburi ,322
Madurai Pandian Mess,Royapettah,Chinese,200,3.9,4.1,SpringRoll Wontons ,140
Pizza Dough,Madipakkam,Korean,600,3.9,4.1,Tteokbokki Bibimbap ,271
Cream En Creamy,Mogappair,Korean,350,3.8,3.6,Bibimbap Tteokbokki ,163
Southern Chinese Restaurant,Anna Nagar East,Japanese,600,4.0,4.0,Ramen Omuraisu ,227
Midnight Masala,Kodambakkam,Japanese,500,3.0,3.3,Tempura Tempura ,289
Al Reef,Selaiyur,Western,600,3.3,3.7,Pizza Sandwich ,288
Bengali Fun Foods,Perungudi,Chinese,300,4.1,3.9,SpringRoll Dumplings ,284
90ML,Nungambakkam,Dessert,100,4.0,4.3,Cookie Cookie ,173
Al Eid,Perambur,Chinese,800,3.8,3.8,Dimsum SpringRoll ,268
The Bombay Churros,Kilpauk,Western,400,4.0,4.1,Steak Steak ,169
V4 Ambur Biriyanis,T. Nagar,Western,550,4.1,4.3,Steak Salad ,252
Burger Bees,Perungudi,Western,300,4.0,3.9,Hamburger Steak ,232
Gharka Khana Gharke Pass,Ramapuram,Western,300,3.1,3.4,Salad Pizza ,220
The Grand Sweets and Snacks - Amirtham Restaurant,Anna Nagar West,Korean,500,4.1,4.6,Japche Tteokbokki ,242
Loretta's,Anna Nagar West,Western,600,3.7,3.2,Salad Sandwich ,134
Paprikaas Restaurant,Ashok Nagar,Western,300,4.0,4.1,Steak Pizza ,311
Waf Bites,K.K. Nagar,Japanese,300,4.0,4.1,Sushi Tempura ,135
Ravi Mehra's Delhi Hotel,Kilpauk,Dessert,800,3.8,4.3,Cookie Cupcake ,238
The London Shakes & Chaat Chatore,Velachery,Western,500,3.9,3.7,Sandwich Steak ,170
Ente Malayala Naadu,Kilpauk,Japanese,500,3.6,3.8,Tempura Ramen ,289
Hotel Arasu Chettinad,Ambattur,Dessert,650,3.9,3.7,Cookie Cupcake ,269
Bikes & Burgers,Kolathur,Chinese,500,3.8,2.9,Wontons SpringRoll ,199
Grand Biriyani,Medavakkam,Chinese,500,3.8,3.6,Dimsum Wontons ,322
The Old Madras CafÃÂ©,Semmancheri,Western,250,3.8,3.1,Hamburger Steak ,261
Patina,Besant Nagar,Korean,600,4.0,3.9,Bibimbap Bibimbap ,129
Cold Stone Creamery,Nungambakkam,Korean,550,4.0,3.8,Tteokbokki Japche ,138
E-Sait Biryani Centre,Tambaram,Chinese,300,4.1,4.1,SpringRoll Dimsum ,309
Liza Restaurant,Vepery,Chinese,600,3.8,4.3,Dimsum Dimsum ,261
Pizza Republic,Anna Nagar West,Chinese,500,3.8,3.9,Dumplings Dimsum ,235
Long Live Pizza,"OMR Food Street, Navallur",Korean,500,3.1,3.3,Tteokbokki Bibimbap ,275
Baski Chef's,"OMR Food Street, Guduvancheri",Japanese,750,4.0,3.8,Omuraisu Donburi ,196
AKS Kabab,Royapettah,Chinese,350,4.1,4.1,Dimsum Wontons ,248
Express Briyani,Karapakkam,Chinese,500,3.3,3.3,Dimsum SpringRoll ,220
Cake Square,St. Thomas Mount,Dessert,400,4.0,4.1,Donut Brownies ,173
CC Cafe,Ramapuram,Dessert,500,4.0,3.5,Cookie Brownies ,158
Uppu Milagu,Taramani,Western,500,3.1,3.4,Pizza Hamburger ,200
Rahath City Restaurant,Teynampet,Western,400,3.8,4.0,Sandwich Pizza ,289
Ramaa's The Hyderabadi Food Court,Saligramam,Western,500,4.0,4.2,Pizza Hamburger ,242
Parwani's Bombay Halwa House,Kilpauk,Japanese,600,4.0,3.9,Ramen Sushi ,217
BBQ Bro's - The Backyard Barbeque,Ashok Nagar,Japanese,400,4.3,4.1,Udon Donburi ,197
Vaasu's Ghuma Ghumalu Andhra Mess,Navallur,Japanese,500,4.1,3.8,Tempura Donburi ,293
Dakshina Puram,Akkarai,Dessert,250,3.8,3.8,Cupcake Cookie ,147
Anchor Restaurant,Mogappair,Western,600,3.9,4.3,Salad Hamburger ,259
Hot Chappathies,Nanganallur,Japanese,450,3.8,3.9,Tempura Udon ,168
Northern Connection,Ramapuram,Western,350,3.2,3.9,Hamburger Sandwich ,234
Noorus,Navallur,Japanese,450,3.5,3.5,Udon Donburi ,280
Rhiya,Royapettah,Chinese,300,4.0,3.9,SpringRoll Wontons ,218
Hariyalii,Velachery,Chinese,800,4.1,4.1,Dimsum Wontons ,200
Freez Zone,Alwarpet,Dessert,200,3.8,4.3,Brownies Cookie ,169
Dine City,"Mahindra World City, Chengalpattu",Chinese,500,3.8,3.7,SpringRoll Wontons ,272
Bliss Cafe,Potheri,Japanese,600,3.9,3.9,Omuraisu Omuraisu ,261
Oceana,Pallikaranai,Western,550,3.2,3.6,Hamburger Pizza ,286
V.V.S Chettinadu,Adambakkam,Japanese,450,4.1,3.9,Omuraisu Donburi ,272
Little Hut,Anna Nagar West,Japanese,800,3.8,4.0,Sushi Sushi ,199
Smokey Bones,Nanganallur,Western,600,3.6,3.7,Sandwich Sandwich ,285
Pait Pooja,Perungudi,Japanese,300,3.7,3.9,Ramen Udon ,197
French Loaf,Anna Nagar East,Japanese,400,3.1,3.9,Udon Ramen ,167
11 O Cafe,Perungudi,Chinese,650,3.8,3.6,Dimsum Wontons ,135
Mumma Mia,Karapakkam,Korean,400,4.2,3.8,Tteokbokki Tteokbokki ,173
Pottery Kitchen,Saidapet,Korean,600,4.2,3.9,Japche Japche ,252
Farooqui's,Mogappair,Korean,500,3.9,4.1,Bibimbap Japche ,279
Foody,Thuraipakkam,Dessert,450,3.5,3.5,Brownies Cupcake ,277
Maq's Barbecue N Biryani,Thuraipakkam,Chinese,700,3.9,3.8,SpringRoll Wontons ,243
Sappda Vanga,"Hotel Vassi Palaze, Kanchipuram District",Dessert,500,3.7,4.1,Brownies Cookie ,211
Jabal Noor,Ramapuram,Korean,350,3.9,3.8,Bibimbap Bulgogi ,238
Tea Trails,Anna Nagar East,Korean,600,2.8,3.4,Tteokbokki Bulgogi ,118
Malabar House,Adyar,Japanese,600,3.8,3.8,Tempura Udon ,221
La Festa,Selaiyur,Dessert,500,3.8,3.4,Cupcake Donut ,165
Vishranthi,Besant Nagar,Chinese,250,3.8,3.9,Dumplings Dumplings ,211
The Biryani Factory,Ramapuram,Dessert,400,3.6,3.7,Cupcake Brownies ,180
Mandarin,Gopalapuram,Dessert,500,2.9,3.8,Brownies Brownies ,206
Desi Rasoi's Punjabi Dhaba,T. Nagar,Dessert,600,3.8,3.5,Donut Cupcake ,209
FISALISCIOUS,Besant Nagar,Dessert,300,4.1,3.3,Brownies Donut ,166
Spicey Route,Navallur,Dessert,800,3.7,3.8,Brownies Brownies ,193
Hotel Prasan Sandeepha,Madipakkam,Chinese,450,3.8,4.0,SpringRoll Wontons ,204
Golcondas,"OMR Food Street, Navallur",Korean,500,3.8,3.8,Tteokbokki Japche ,185
